Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
jellyous;ILLIT;ILLIT;6_meses;2;5;jellyous (Feat. Sophie Powers);0;k-pop, korean, uk hardcore;2026-03-25 18:49:30;;51pREVFJeAJGvhJ1rYCKZH
$em;Doncesão;Doncesão, Cravinhos, Paulo DK;6_meses;2;6;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;0rDKhCsMHpUAKX08RHbUdq
Animal Farm;BIBI;BIBI;6_meses;2;7;Lowlife Princess: Noir;0;N/A;2026-03-25 18:49:30;;52E1RaEQsm97GgjFQCER9L
Magnetic;ILLIT;ILLIT;6_meses;2;8;SUPER REAL ME;0;k-pop, pluggnb, soty;2026-03-25 18:49:30;;1aKvZDoLGkNMxoRYgkckZG
Birds & the Bees;Baby Keem;Baby Keem;6_meses;2;9;Ca$ino;0;N/A;2026-03-25 18:49:30;;7bwLHhqhRu0fVTM3aaeK9V
BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;6_meses;2;10;DeBÍ TiRAR MáS FOToS;0;salsa, loud, reggaeton, instrumental;2026-03-25 18:49:30;;2lTm559tuIvatlT1u0JYG2
Billyeoon Goyangi (Do the Dance);ILLIT;ILLIT;6_meses;2;11;bomb;0;disco, french house, soty, bomb;2026-03-25 18:49:30;;4p0uVFAXKUISu8yp9gNtWE
Queencard;i-dle;i-dle;6_meses;2;12;I feel;0;pop rock, female empowerment, k-pop, hit, 2023;2026-03-25 18:49:30;;5FSJErpzGIUmp0TMioaQno
NOT ME;ILLIT;ILLIT;6_meses;2;13;NOT ME;0;k-pop, pop rap, korean;2026-03-25 18:49:30;;0LsBeyRc4DmU6z2h0VDh0O
BIBI Vengeance;BIBI;BIBI;6_meses;2;14;Lowlife Princess: Noir;0;N/A;2026-03-25 18:49:30;;0nS3lmnyaFyXuGVZp5XCqj
Hotel Caro;Baco Exu do Blues;Baco Exu do Blues, Luísa Sonza;6_meses;2;15;Hotel Caro;0;N/A;2026-03-25 18:49:30;;13cC8N59S63EOeSNMhskEO
Good Flirts (feat. Kendrick Lamar & Momo Boyd);Baby Keem;Baby Keem, Kendrick Lamar, Momo Boyd;6_meses;2;16;Ca$ino;0;kendrick lamar;2026-03-25 18:49:30;;5sHeIGDbdzw8DeO57XZKIy
Vai Passar;Doncesão;Doncesão, Cravinhos;6_meses;2;17;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;2yJNi41gbIcgseHwx9BxOP
I Love Her Again;J. Cole;J. Cole;6_meses;2;18;The Fall-Off;0;boom bap, hip-hop, jazz rap, conscious hip hop;2026-03-25 18:49:30;;5pjf75G1zn9EEFa8iaCV5h
House Money;Baby Keem;Baby Keem;6_meses;2;19;Ca$ino;0;west coast hip hop, hip-hop, trap, pop rap, chipmunk soul;2026-03-25 18:49:30;;5Th1SPySWgYlkXXC6wLMwL
OMG;NewJeans;NewJeans;6_meses;2;20;NewJeans 'OMG';0;future bass, k-pop, r&b, 2023, baltimore club;2026-03-25 18:49:30;;65FftemJ1DbbZ45DUfHJXE
ETA;NewJeans;NewJeans;6_meses;2;21;NewJeans 2nd EP 'Get Up';0;catchy, k-pop, korean, 2023, baltimore club;2026-03-25 18:49:30;;56v8WEnGzLByGsDAXDiv4d
BBoom BBoom;MOMOLAND;MOMOLAND;6_meses;2;22;GREAT!;0;k-pop, korean;2026-03-25 18:49:30;;3BPoSr2pO34Aan6alFfVto
Supernova;aespa;aespa;6_meses;2;23;Armageddon - The 1st Album;0;k-pop, electropop, electro house;2026-03-25 18:49:30;;2JhbSmNAyM9kYiqwa8Tpla
Doze Judas na Minha Ceia;Doncesão;Doncesão, Cravinhos;6_meses;2;24;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;5Gb3dynBKiSjAKAfTGcBYk
Past Won't Leave My Bed;Joji;Joji;6_meses;2;25;Piss In The Wind;0;piano rock, adult contemporary;2026-03-25 18:49:30;;3J44gxX4AcRApFyympWPIB
like JENNIE;JENNIE;JENNIE;6_meses;2;26;Ruby;0;funk, funk mandelao, funk automotivo, jennie;2026-03-25 18:49:30;;0fK7ie6XwGxQTIkpFoWkd1
